NS 10000
ROOT 8643
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6619
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7372
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4239
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7388
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8015
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3188
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1722
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4639
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3720
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6671
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4459
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5960
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6047
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3944
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3786
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7164
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2859
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7528
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3744
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8411
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7710
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7120
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2487
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7710
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6261
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7782
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5166
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5348
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3786
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6673
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7382
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5932
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4427
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2059
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5966
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5342
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2825
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6073
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2637
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4489
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7970
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2017
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4451
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4839
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3520
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5536
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6053
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1976
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3788
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8275
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2675
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2425
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4275
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5782
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1126
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7960
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6673
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3976
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8081
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6421
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1712
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3120
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1166
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6851
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8645
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2633
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6427
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5386
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3310
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1348
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5538
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5932
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4855
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8825
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4275
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5742
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4827
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5382
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5788
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5750
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7782
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5340
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2427
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6273
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1158
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3520
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4821
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4637
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4077
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4827
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2639
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1342
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4671
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7164
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3560
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4237
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5166
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7784
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2239
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4671
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2089
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2015
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3384
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8839
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4237
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4825
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6417
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7388
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8075
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3744
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4051
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3964
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4239
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4821
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4677
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4675
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5536
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8671
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2417
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8071
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6671
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2673
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3720
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1566
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2427
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5710
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7564
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5532
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2425
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2427
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1744
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6821
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2619
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7560
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2269
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1378
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2639
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6271
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4487
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3748
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3748
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6421
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1976
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1522
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7160
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7382
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8273
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5386
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1742
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5750
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1348
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5186
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4677
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2639
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2083
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5382
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2825
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1944
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1714
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3728
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2275
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4421
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8645
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4275
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5566
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5386
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4675
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7564
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8869
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2073
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4825
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5948
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1164
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3534
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8861
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4077
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2637
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7120
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6421
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8615
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2459
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3314
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2483
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3948
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6823
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5758
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5756
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7964
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7964
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7378
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3520
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6869
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7754
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6417
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3740
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6053
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3740
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1342
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7564
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3388
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1522
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3728
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5182
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7122
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8231
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6671
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7182
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6017
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2673
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8861
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5312
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7964
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3786
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7964
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2487
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7162
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2017
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1726
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5386
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1372
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4839
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1944
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3564
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6619
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1744
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8419
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3728
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6423
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3710
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2233
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 4649
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5936
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1166
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5182
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6673
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5312
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8675
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2089
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5532
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7314
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7150
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8083
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2827
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1526
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2839
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 6867
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8481
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8265
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2239
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3564
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3386
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7370
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2869
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3314
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8649
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3348
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 8821
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 5182
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 2075
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3370
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 1712
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 3720
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
ROOT 7754
UHF -7,+6,-4,+4
LHF -5,+3,-4,+0
PHF -9,+8,-8,+5
